Date,Open ,High,Low ,Close_Price,Active_Adresses,Age_Destroyed,Network_Profit_Loss,NVT_Ratio,Realized_Value,Token_Age_Consumed,Token_Circulation,Velocity,Whale_Transaction_Count_100K,Exchange_Balance,Dev_Activity,Mean_Age,Mean_Dollar_Invested,Exchange_Percentage_Of_Supply,Exchange_In_Out_Flow,Exchange_Inflow,Exchange_Outflow,Transaction_Volume,Transaction_Volume_Loss,Transaction_Volume_Profit,Transaction_Volume_Profit_Loss,MVRV_Ratio,HoldersDistr_0.001_0.01,HoldersDistr_0.01_0.1,HoldersDistr_0.1_1,HoldersDistr_1_10,HoldersDistr_10_100,HoldersDistr_100_1K,HoldersDistr_1K_10K,HoldersDistr_10K_100K,HoldersDistr_100K_1M,HoldersDistr_Total
2017-05-16,1741.7,1785.94,1686.54,1734.45,655428,10632763.7,32378093.81,57.25404776,9839382436,10632763.7,16334365.73,5.966363964,5698,-4863.871848,19,918.8106255,319.1853383,3.482265577,-4863.871848,257724.569,262588.4409,1702181.329,589973.2774,545546.549,0.92469705,2.87936167,2962666,2691473,1173873,446437,130925,16424,1641,110,2,17103179
2017-05-17,1726.73,1864.05,1661.91,1839.09,762468,22281871.73,98512622.25,45.90210956,9941377125,22281871.73,16336303.23,6.700124036,7404,-19136.32414,53,918.3376465,315.8113721,3.364712708,-19136.32414,324435.8805,343572.2046,2384536.55,721302.216,989541.6016,1.371882104,3.022109667,2975599,2699437,1179172,447700,130983,16413,1636,110,2,17135388
2017-05-18,1818.7,1904.48,1807.12,1888.65,742327,8350850.148,50310228.98,58.50325453,9994973312,8350850.148,16338078.23,6.261941577,5877,13821.81055,38,918.7266961,314.6161248,3.448945913,13821.81055,223915.8257,210094.0151,1748758.974,542792.847,855282.5537,1.57570712,3.087243006,2979815,2690742,1181659,450308,131128,16421,1626,111,2,17151141
2017-05-19,1897.37,2004.52,1890.25,1987.71,807936,19090111.11,94496334.74,52.42362253,10093649000,19090111.11,16340128.23,5.692176798,5746,-3682.090136,15,918.4430723,311.4183854,3.425979181,-3682.090136,247093.7867,250775.8769,1774217.315,509783.1666,1008028.463,1.977367103,3.217809168,2985249,2696006,1188488,447861,130739,16407,1632,112,2,17181694
2017-05-20,1984.24,2084.73,1974.92,2084.73,851789,12604367.47,78951597.34,67.04047005,10176753557,12604367.47,16342190.73,6.499037989,4431,14397.69542,6,918.5558174,309.2507876,3.513648177,14397.69542,190078.8246,175681.1291,1584244.835,476766.5185,867711.4028,1.819992322,3.347733154,3001376,2699482,1185407,447542,130617,16413,1635,111,2,17223000
2017-05-21,2067.03,2119.08,2037.5,2041.2,791592,11541636.05,79106404.34,71.2232675,10259666492,11541636.05,16344028.23,5.641507075,5009,20762.48633,14,918.7463216,307.0283611,3.640287233,20762.48633,185036.928,164274.4417,1294590.295,394509.4147,649839.5496,1.647209231,3.251707105,3015730,2701823,1191496,447869,130750,16376,1633,110,2,17281501
2017-05-22,2043.19,2303.9,2017.87,2173.4,773303,28321547.43,195188032.4,44.47615176,10458860948,28321547.43,16345853.23,5.387494093,8235,7257.115948,52,917.9110428,300.8380921,3.684278088,7257.115948,287921.6417,280664.5258,1980009.156,465464.1049,923804.7158,1.984695933,3.396744406,3037138,2718547,1196768,449968,131128,16356,1625,111,2,17355532
2017-05-23,2191.56,2320.82,2178.5,2320.42,876769,25534551.89,172719047.4,43.01124259,10636322887,25534551.89,16347953.23,5.166687262,7834,-154.0881648,48,917.2311254,295.6716736,3.682862266,-154.0881648,241611.5147,241765.6028,1963783.342,541975.1572,1131137.261,2.087064777,3.566469168,3053001,2729220,1202341,450641,130692,16370,1631,110,2,17421996
2017-05-24,2321.37,2523.72,2321.37,2443.64,806751,38152402.56,177966307,47.00593693,10826274627,38152402.56,16349878.23,6.292648753,9506,14370.10454,43,915.7895728,289.9043692,3.770319856,14370.10454,272006.4986,257636.394,2188745.669,529795.049,1251154.199,2.361581524,3.69039377,3073014,2742104,1215761,453071,130773,16322,1629,111,2,17500465
2017-05-25,2446.24,2763.71,2285.3,2304.98,842964,58434586.91,283027989.9,39.46491915,11114551501,58434586.91,16351915.73,6.117835057,10606,48981.13775,28,913.101838,280.2537937,4.069393789,48981.13775,328684.7576,279703.6198,2534867.053,669116.8247,1228587.438,1.836132933,3.391125474,3092543,2758457,1228941,453497,130552,16282,1620,111,2,17579925
2017-05-26,2320.89,2573.79,2071.99,2202.42,818392,26711587.03,74798219.66,50.63330032,11193893495,26711587.03,16353828.23,6.379469251,8180,8996.480853,17,912.3616429,278.2182668,4.12392936,8996.480853,267518.0696,258521.5888,2060476.873,850264.8985,763737.5619,0.898234848,3.217647049,3113461,2777854,1238759,454721,130639,16296,1605,110,3,17664999
2017-05-27,2196.27,2260.2,1855.83,2038.87,892647,14327252.53,-6802846.469,56.83756139,11191594863,14327252.53,16355928.23,5.102134862,5550,11036.01906,8,912.3684639,278.571015,4.190873996,11036.01906,206723.3897,195687.3707,1468221.887,675757.4077,484201.3928,0.716531387,2.979701446,3124650,2764222,1232571,451950,130370,16263,1612,111,3,17687577
2017-05-28,2054.08,2267.34,2054.08,2155.8,856628,10592148.23,48511462.69,74.12307944,11244653678,10592148.23,16357990.73,6.863358105,6265,-91.49018653,3,912.6058421,277.7449973,4.189786289,-91.49018653,146292.5617,146384.0519,1514653.049,438410.0815,654597.5947,1.493117112,3.13611761,3104727,2730762,1232512,450014,130223,16250,1612,111,3,17658135
2017-05-29,2159.43,2307.05,2107.17,2255.61,766061,10104419.97,57232120.62,61.46521296,11306054531,10104419.97,16359878.23,6.889211661,6385,-15269.45762,13,912.8828548,276.6567409,4.09596811,-15269.45762,163760.9096,179030.3672,1833665.881,487152.922,725002.6749,1.488244537,3.263871126,3121670,2743881,1233455,450027,130265,16303,1614,111,3,17718378
2017-05-30,2255.36,2301.96,2124.57,2175.47,848313,15318121.33,70449872.62,56.23502854,11381547615,15318121.33,16362115.73,7.485289073,7806,-4365.037974,36,912.8217554,275.1095857,4.06873028,-4365.037974,245025.7891,249390.8271,2177915.959,842624.0923,849190.6741,1.007793015,3.127456222,3141783,2753710,1225315,449161,130087,16332,1615,111,3,17770105
2017-05-31,2187.19,2311.08,2145.57,2286.41,819592,30979207.25,92588147.37,49.75765068,11478710408,30979207.25,16364165.73,7.355660424,8681,-24809.49716,85,911.8142288,273.0823969,3.916611886,-24809.49716,213776.5369,238586.034,2419110.32,650892.1915,896215.976,1.376903868,3.259529236,3158119,2753242,1225738,450013,130099,16321,1628,110,3,17818621
2017-06-01,2288.33,2448.39,2288.33,2407.88,838139,14389745.52,105561806.3,51.69784045,11589332129,14389745.52,16366290.73,8.581324924,9352,-2494.692458,71,911.8165433,270.7586079,3.900860482,-2494.692458,275278.0704,277772.7628,2716640.721,682367.4201,1162056.9,1.702978287,3.400374041,3168298,2749105,1217653,452205,130135,16315,1619,112,3,17845503
2017-06-02,2404.03,2488.55,2373.32,2488.55,726212,8977806.128,85943839.58,56.19137295,11679695175,8977806.128,16368115.73,7.560564403,8343,7239.229729,31,912.1663293,269.0702063,3.944653178,7239.229729,199679.739,192440.5093,2202334.391,586933.0874,932711.5588,1.589127583,3.487494647,3164471,2744472,1222733,452045,130217,16365,1608,112,3,17864904
2017-06-03,2493.72,2581.91,2423.57,2515.35,883245,8710945.523,89608504.91,59.06843673,11775305779,8710945.523,16370515.73,8.602235046,9534,-12460.91878,15,912.5004207,267.3505129,3.867956813,-12460.91878,213621.9962,226082.915,2384065.534,697892.7916,1227580.707,1.758981783,3.496943308,3109119,2737338,1221403,449385,130116,16324,1622,111,3,17814403
2017-06-04,2547.79,2585.89,2452.54,2511.81,734742,11514880.08,72609316.73,65.78254317,11852968538,11514880.08,16372528.23,7.268006502,7184,3227.041587,13,912.6848882,265.9513261,3.887191466,3227.041587,174192.289,170965.2474,1808924.312,708922.5257,734232.2001,1.035701608,3.469567982,3103389,2735246,1219395,449364,130436,16334,1619,111,3,17826897
2017-06-05,2512.4,2686.81,2510.22,2686.81,767623,11285216.42,115856419.7,53.94571314,11974131143,11285216.42,16374578.23,7.942495112,9407,-4836.197768,50,912.8813695,263.6277458,3.857170019,-4836.197768,204865.8857,209702.0835,2410849.723,627531.5892,1267742.753,2.020205476,3.674202329,3101062,2731907,1221245,450516,130646,16377,1611,111,3,17842262
2017-06-06,2690.84,2999.91,2690.84,2863.2,800491,14102529.29,165972095.1,48.88723442,12145447592,14102529.29,16376465.73,5.84164315,8777,18118.72469,52,912.9149539,260.2740933,3.967364251,18118.72469,212002.6094,193883.8847,1956859.904,499988.9866,966455.5394,1.932953656,3.860631428,3110371,2756998,1224049,450155,130316,16407,1607,112,3,17903505
